composer_name	nationality	birth	death
Wilhelm Posse	German	1852	1925
Joseph-Henri Altès	French	1826	1895
Stéphane Magnenat	unknown	unknown	unknown
Wilhelm Carl Ernst Seeboeck	Austrian	1859	1907
Andreas Johann Lorenz Oechsner	German	1815	1886
Moritz von Hessen-Kassel	German	1572	1632
C. L. Horn	British	1786	1849
François Joseph Dizi	French	1780	1840
Antonio Soler	Spanish	1729	1783
István Járay-Janetschek	unknown	1868	1945
Eugene Goossens	British	1893	1962
Julie Rivé-King	American	1854	1937
Heinrich Sutter	Swiss	1910	1995
Jules Egghard	Austrian	1834	1867
Jag A.	unknown	unknown	unknown
Eugène Ketterer	French	1831	1870
Luis Leandro Mariani	unknown	1864	1925
Stephan Elmas	Armenian	1862	1937
Arne Oldberg	American	1874	1962
Aleksandr Taneyev	Russian	1850	1918
Nannie Louise Wright	American	1879	1958
Maurice Jaubert	French	1900	1939
Benedictus Appenzeller	Belgian	1480	1550
Sergey Protopopov	Russian	1893	1954
Nikolay Rimsky-Korsakov	American	1844	1908
Mikhail Kalachevsky	Ukrainian	1851	1907
Gregor Krengel	Polish	1552	1587
Elias Parish-Alvars	British	1808	1849
Aleksandr Spendiarov	Armenian	1871	1928
Fernand Andrieu	French	1863	1935
Kōsaku Yamada	Japanese	1886	1965
Arthur Foote	American	1853	1937
Pedro Astort Ribas	Spanish	1873	1928
Johann Peter Theodor Nehrlich	German	1770	1816
Christine Snowdin	unknown	unknown	unknown
Pál Hermann	Hungarian	1902	1944
César Franck	Belgian	1822	1890
Franz von Suppé	Austrian	1819	1895
Edward Elgar	British	1857	1934
Alexander Kruchoski	American	unknown	unknown
Francis Poulenc	British	1899	1963
Anton de Kontski	Polish	1817	1899
Chris Smith	American	1879	1949
István Bartalus	Hungarian	1821	1899
Albert Grisar	Belgian	1808	1869
René Louis Blin	French	1884	1951
Raoul Koczalski	Polish	1884	1948
Josef Rudolf Lewy	German	1802	1881
Federico Maria Sardelli	Italian	1963	2015
Yury Shaporin	Russian	1887	1966
Mark Hambourg	Russian	1879	1960
Émile Bernard	French	1843	1902
Henry Lemoine	French	1786	1854
Felipe Pedrell	Spanish	1841	1922
André Caplet	French	1878	1925
Aleksandr Nemerovsky	Russian	1859	1915
Alonso Mudarra	Spanish	1510	1580
Colette Mourey	French	1954	-
Michael Praetorius	German	1571	1621
Antonín Kammel	Czech	1730	1780
Giuseppe Maria Jacchini	Italian	1667	1727
Léon Jessel	German	1871	1942
Eaton Faning	British	1850	1927
Maxime Alkan	French	1818	1891
Claudio Alsuyet	Argentine	1957	-
Valborg Aulin	Swedish	1860	1928
Charles d' Albert	British	1864	1932
Louis-François Dauprat	French	1781	1868
Jack Richard Hodkinson	unknown	unknown	unknown
Armand Arone	unknown	unknown	unknown
Carl Friedemann	German	1862	1952
Georges Auric	French	1899	1983
Gabriel Grovlez	French	1879	1944
Ana Leira Carnero	American	1973	-
Bjørn Breimo	Norwegian	1958	-
Claude-Bénigne Balbastre	French	1724	1799
Väinö Hannikainen	unknown	1900	1960
László Zimay	Hungarian	1833	1900
Wim Zwaag	Dutch	1960	-
Jón Leifs	Icelandic	1899	1968
Woldemar Bargiel	German	1828	1897
Albert Von Tilzer	American	1878	1956
John J. Becker	American	1886	1961
Joseph Arthur Mann	unknown	unknown	unknown
Gottfried August Homilius	German	1714	1785
Gabriel Pierné	French	1863	1937
